"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2018","141.87","147.54","150.25","140.62","192.83M","-3.81%"
"01-12-2017","147.50","152.33","153.08","144.62","180.42M","-2.29%"
"01-11-2017","150.96","151.00","155.71","144.62","210.75M","-0.06%"
"01-10-2017","151.04","140.00","156.67","139.33","188.62M","8.24%"
"01-09-2017","139.54","139.54","143.21","136.75","110.11M","-0.77%"
"01-08-2017","140.62","137.17","149.29","135.92","272.74M","2.77%"
"01-07-2017","136.83","132.42","143.21","129.42","113.66M","3.30%"
"01-06-2017","132.46","133.50","136.17","129.17","98.70M","-0.78%"
"01-05-2017","133.50","137.21","138.00","127.62","94.43M","-2.61%"
"01-04-2017","137.08","138.33","141.08","132.00","105.30M","-0.90%"
"01-03-2017","138.33","136.21","138.96","128.92","123.42M","1.87%"
"01-02-2017","135.79","143.87","146.67","135.21","132.75M","-5.45%"
"01-01-2017","143.62","137.54","148.54","134.25","125.05M","4.61%"
"01-12-2016","137.29","135.96","140.00","131.58","79.32M","0.98%"
"01-11-2016","135.96","126.42","137.67","121.33","133.46M","8.01%"
"01-10-2016","125.87","123.96","129.12","119.42","83.92M","2.06%"
"01-09-2016","123.33","133.08","136.67","122.75","81.17M","-7.06%"
"01-08-2016","132.71","132.17","141.67","130.58","104.35M","0.57%"
"01-07-2016","131.96","129.42","133.67","119.04","96.59M","1.31%"
"01-06-2016","130.25","119.08","130.83","117.96","90.77M","9.19%"
"01-05-2016","119.29","116.08","123.29","111.17","166.62M","2.76%"
"01-04-2016","116.08","107.25","120.00","104.21","96.79M","8.11%"
"01-03-2016","107.37","100.00","109.87","99.42","100.71M","7.82%"
"01-02-2016","99.58","118.33","120.12","97.42","153.47M","-16.11%"
"01-01-2016","118.71","121.92","122.50","109.00","99.86M","-2.60%"
"01-12-2015","121.87","109.25","124.04","106.67","97.32M","11.73%"
"01-11-2015","109.08","110.37","116.08","108.08","93.54M","-1.43%"
"01-10-2015","110.67","104.33","114.71","102.58","110.25M","7.31%"
"01-09-2015","103.12","100.08","108.33","93.67","104.54M","1.89%"
"01-08-2015","101.21","112.58","115.00","89.25","135.67M","-10.07%"
