"Date","Price","Open","High","Low","Vol.","Change %"
"01-05-2016","140.50","145.33","147.43","133.33","145.51M","-2.99%"
"01-04-2016","144.83","143.00","150.27","136.00","106.90M","1.47%"
"01-03-2016","142.73","129.27","146.10","125.70","213.78M","10.30%"
"01-02-2016","129.40","151.87","151.87","125.17","138.43M","-14.21%"
"01-01-2016","150.83","159.93","163.20","137.30","120.75M","-6.41%"
"01-12-2015","161.17","156.37","162.53","140.83","125.21M","3.25%"
"01-11-2015","156.10","164.63","171.07","147.50","86.20M","-5.18%"
"01-10-2015","164.63","152.90","178.50","152.00","109.19M","7.67%"
"01-09-2015","152.90","161.87","162.23","145.13","126.92M","-4.16%"
"01-08-2015","159.53","181.93","189.80","148.67","158.48M","-12.25%"
"01-07-2015","181.80","206.00","211.40","175.63","120.18M","-11.92%"
"01-06-2015","206.40","219.33","219.93","198.20","99.65M","-6.14%"
"01-05-2015","219.90","204.07","228.80","204.07","139.72M","8.50%"
"01-04-2015","202.67","204.67","221.93","202.07","112.66M","-0.77%"
"01-03-2015","204.23","219.20","219.73","199.20","140.33M","-5.72%"
"01-02-2015","216.63","236.67","249.20","208.43","133.46M","-7.51%"
"01-01-2015","234.23","226.83","238.67","218.73","141.39M","2.93%"
"01-12-2014","227.57","252.13","254.67","219.40","147.82M","-10.03%"
"01-11-2014","252.93","270.67","275.00","250.00","116.87M","-6.36%"
"01-10-2014","270.10","273.23","286.00","259.10","129.78M","-0.83%"
"01-09-2014","272.37","293.23","305.30","263.40","138.73M","-6.08%"
"01-08-2014","290.00","262.77","293.67","256.10","153.31M","10.03%"
"01-07-2014","263.57","286.00","286.67","260.37","176.99M","-6.94%"
"01-06-2014","283.23","253.73","314.57","252.17","306.57M","12.35%"
"01-05-2014","252.10","217.97","283.33","215.10","180.20M","16.32%"
"01-04-2014","216.73","214.00","221.63","209.03","134.88M","2.01%"
"01-03-2014","212.47","193.03","223.60","191.33","145.13M","9.39%"
"01-02-2014","194.23","182.00","195.17","176.10","76.18M","5.73%"
"01-01-2014","183.70","193.33","196.53","180.07","100.45M","-4.62%"
"01-12-2013","192.60","194.60","204.97","181.00","90.30M","-3.41%"
"01-11-2013","199.40","196.20","199.87","175.67","77.47M","1.84%"
"01-10-2013","195.80","180.00","200.53","173.87","88.00M","9.65%"
"01-09-2013","178.57","169.93","201.67","163.80","124.20M","7.51%"
"01-08-2013","166.10","195.37","197.83","156.13","163.78M","-14.29%"
"01-07-2013","193.80","221.63","226.17","176.97","122.72M","-12.20%"
"01-06-2013","220.73","218.17","235.37","197.40","118.46M","0.98%"
"01-05-2013","218.60","215.33","230.13","211.63","118.23M","0.37%"
"01-04-2013","217.80","208.17","224.33","197.10","101.05M","4.91%"
"01-03-2013","207.60","208.60","220.00","192.83","106.19M","-0.65%"
"01-02-2013","208.97","225.70","228.33","200.17","111.95M","-7.73%"
"01-01-2013","226.47","179.40","236.67","177.33","218.12M","26.75%"
"01-12-2012","178.67","176.67","180.67","170.07","96.20M","1.15%"
"01-11-2012","176.63","177.67","179.70","165.67","88.61M","-1.32%"
"01-10-2012","179.00","186.67","192.67","151.60","73.41M","-4.40%"
"01-09-2012","187.23","184.43","198.00","179.00","106.40M","1.79%"
"01-08-2012","183.93","191.73","193.77","180.13","73.93M","-3.55%"
"01-07-2012","190.70","189.97","195.50","182.13","85.18M","0.42%"
"01-06-2012","189.90","167.33","190.53","162.83","89.86M","12.50%"
"01-05-2012","168.80","179.03","180.23","160.07","79.88M","-6.24%"
"01-04-2012","180.03","179.27","183.97","171.40","58.27M","0.63%"
"01-03-2012","178.90","196.57","197.63","169.33","130.44M","-8.48%"
"01-02-2012","195.47","182.13","202.83","179.33","153.45M","6.21%"
"01-01-2012","184.03","171.67","188.53","168.80","73.72M","7.58%"
"01-12-2011","171.07","182.10","185.20","163.17","65.26M","-3.80%"
"01-11-2011","177.83","183.70","192.03","161.17","78.69M","-3.93%"
"01-10-2011","185.10","175.33","196.53","173.17","81.06M","4.34%"
"01-09-2011","177.40","181.33","187.03","168.83","185.83M","1.06%"
"01-08-2011","175.53","180.77","193.43","173.33","122.08M","-2.21%"
"01-07-2011","179.50","193.93","193.93","178.93","102.03M","-1.82%"
"01-06-2011","182.83","188.67","198.33","165.37","145.13M","-2.42%"
"01-05-2011","187.37","206.00","210.53","174.27","179.04M","-8.69%"
"01-04-2011","205.20","195.00","217.10","185.70","101.95M","5.66%"
"01-03-2011","194.20","182.00","196.13","174.67","106.11M","7.75%"
"01-02-2011","180.23","198.50","205.52","173.40","141.94M","-8.18%"
"01-01-2011","196.30","217.33","217.33","183.78","138.96M","-8.57%"
"01-12-2010","214.70","208.33","227.31","207.75","127.78M","3.44%"
"01-11-2010","207.55","220.67","232.67","198.67","91.69M","-4.51%"
"01-10-2010","217.34","234.39","240.73","215.00","119.96M","-7.13%"
"01-09-2010","234.02","224.93","245.43","220.00","142.54M","4.97%"
"01-08-2010","222.93","206.67","226.65","201.33","119.37M","7.81%"
"01-07-2010","206.78","220.13","224.48","203.33","134.18M","-6.06%"
"01-06-2010","220.13","195.00","221.90","190.00","201.51M","13.11%"
"01-05-2010","194.62","175.00","196.28","168.67","177.19M","10.71%"
"01-04-2010","175.80","183.50","185.00","166.00","88.95M","-4.00%"
"01-03-2010","183.12","186.68","189.77","174.19","115.87M","-1.69%"
"01-02-2010","186.27","181.00","192.50","172.79","77.42M","1.94%"
"01-01-2010","182.73","196.17","207.79","179.17","106.67M","-6.93%"
"01-12-2009","196.33","200.67","202.83","192.13","81.32M","-1.82%"
"01-11-2009","199.96","190.82","201.97","184.20","115.93M","6.01%"
"01-10-2009","188.63","195.91","212.94","187.72","123.29M","-3.43%"
"01-09-2009","195.33","195.93","202.38","155.71","171.65M","-1.14%"
"01-08-2009","197.58","194.17","205.00","184.68","209.33M","1.84%"
"01-07-2009","194.01","177.53","196.28","160.50","314.81M","9.07%"
"01-06-2009","177.88","195.18","203.33","160.67","284.37M","-8.72%"
"01-05-2009","194.88","149.78","203.33","133.73","330.84M","35.21%"
"01-04-2009","144.13","130.00","153.75","125.20","210.09M","10.84%"
"01-03-2009","130.03","110.68","140.57","106.25","233.49M","12.90%"
"01-02-2009","115.17","108.38","123.10","105.00","171.52M","5.51%"
"01-01-2009","109.16","111.17","132.90","97.97","216.49M","-1.82%"
